"","description","mean","sd"
"item61","wearing specialized protective or safety equipment",5,0
"item68","have face-to-face discussions with individuals or teams",4.58,1
"item104","getting members of a group to work together to accomplish tasks",4.28,1.05
"item55","standing",4.22,1.17
"item96","running, maneuvering, navigating, or driving vehicles or mechanized equipment",4.22,1.38
"item78","identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events",4.08,1.13
"item75","work with others in a group or team",4.06,1.16
"item63","coordinate or lead others",4.05,1.16
"item86","developing specific goals and plans to prioritize, organize, and accomplish your work",4.04,1.2
"item76","estimating sizes, distances, and quantities; or determining time, costs, resources, or materials",4.01,1.17
